,text
23,returns shall escaped cow must certainly sake dearest wish ” finally husband yielded vasus joined together took cow calf away vasishtha returned ashrama missed cow calf indispensable daily rituals soon came know yogic insight taken place anger seized utter
24,ed curse vasus sage whose sole wealth austerity willed shoul born world men vasus came know curse repentant late threw sage ’ mercy implored giveness vasishtha said “ curse must needs take course prabhasa vasu seized cow live long world glory others freed 
25,curse soon born words prove ineffective shall soften curse extent afterward vasishthh set mind austerities effect slightly impaired anger sages perform austerities acquire power curse every exercise power reduces store merit vasus felt relieved approached 
26,goddess ganga begged “ pray become mother sake beseech descend earth marry worthy man throw us water soon born liberate us curse goddess granted prayer came earth became wife santanu goddess ganga left santanu disappeared eighth child king gave sensual ple
27,asures ruled kingdom spirit asceticism one day wandering along banks ganges saw boy endowed beauty form devendra king gods child amusing castin g dam arrows across ganges flood playing mighty river child indulgent mother king stood transfixed amazement sig
28,ht goddess ganga revealed presented child son said “ king eighth child bore brought till name devavrata mastered art arms equals parasurama prowess learnt vedas vedanta vasishtha well versed arts sciences known sukra take back child great archer hero well 
29,master statec raft ” blessed boy handed father king disappeared chapter ii bhlshma ’ vow joy king received heart kingdom resplendent youthful prince devavrata crowned yuvara ja heir apparent four years went one day king wandering banks yarnuna air suddenly
30, filled fragrance divinely sweet king sought cause traced maiden lovely seemed goddess sage conferred boon divine perfume emanate pervadin g whole forest mome nt goddess ganga left king kept senses control sight divinely beautiful maiden burst bonds restra
31, int filled overmastering desire asked wife maiden said “ fisherwoman daughter chief fishermen may please ask get consent ” voice sweet form father astute man said “ king doubt maiden like every marri ed someone indeed worthy still make promise ” santanu r
32,eplied “ promise shall make ” chief fisherfolk said “ child born maiden king though almost mad passio n king could make promise meant setting aside godlike devavrata son ganga entitled crown price could thought without shame therefore returned capital hast
33,inapura sick bathed desire reveal matter anyone languished silence one day devavr ata asked father “ father heart could wish unhappy like one pining away secret sorrow ” king replied “ dear son say true indeed tortured mental pain anxiety son always preocc
34,upied military ambitions life world uncertain wars incessant anything untoward befalls family become extinct course equal hundred sons still well read scriptures say transitory world one son son proper perpetuation family depend single life things desire p
35,erpetuation family cause anguish ” father prevaricated ashamed reveal whole story sons wise devav rata realised must secret cause mental condition father questioning king ’ charioteer came know meeting fishermaiden banks yamuna went chief fishermen besough
36,t daughter ’ hand father behalf fisherman respectful firm “ daughter indeed fit king ’ spouse son become king crowned heir apparent naturally succeed father stands way ” devavrata replie “ give word son born maiden shall king renounce favour right heir app
37,arent ” took vow ef fect chief fishermen said “ best bharata race done one else born royal blood done till indeed hero conduct daughter king father still hear patience words mine say father girl doubt keep word hope children born renounce birthright sons n
38,aturally mighty heroes like hard resist seek seize kingdom force doubt torments ” heard knotty question posed girl ‘ father devavrata bent fulfilling king desire made supreme renunciation vowed upraised arm father maiden “ shall never marry dedicate life u
39,nbroken chastity ” uttered words renunciat ion gods showered flowers head cries “ bhishma ” “ bhishma ” resounded air “ bhishma ” means one undert akes terrible vow fulfils name became celebrated epith et devavrata time son ganga led maiden satyavati fathe
40,r two sons born satyavati santanu chitrangada vichitravirya ascended throne one viehitravirya two sons dhritarashtra pandu born respectively two queens ambika ambalika sons dhritarashtra hundred number known kauravas pandu five sons became famous panduvas 
41,bhishma lived long honoured pater familias end famous battle kurukshetra family ree chapter iii amba bhishma chitrangada son satyavati killed battle gandharva died childless brother vichitravirya rightful heir duly crowned king minor bhishma governed kingd
42,om name till came age vichitravirya reached adolescence bhishma cast bride heard daughters king kasi choose husbands according ancient kshatriya practice went secure brother rulers kosla vanga pundra kalinga princes potent ates also repaired kasi swayamvar
43,a attired best princesses far famed beauty accomplishments fierce competition win bhishma famous among kshatriyas mighty man arms first everyone thought redoubtable hero come merel witness festivities swayamvara found also suitor young princes felt let ful
44,l chagrin know really come sake brother vichitravirya princes began cast affronts bhishma “ excellent wise descendant bharata race forgets old forgets also vow celibacy old man swayamvara ’ fie princesses choose husbands barely glanced old man looked away 
45,bhishma ’ wrath flamed challenged assembled princes trial manhood defeated taking three princesses chariot set hastina pura gone far salva king saubalu country attached amba intercepted opposed princess mentally chosen salva husband bitter fight salva wors
46,ted wonder bhishma peerless bowma n request princesses bhishma spared life arriving hastinapura princesses bhishma made preparations marriage vichitravirya assembled marriage amba smiled mockingly bhishma addressed follo ws “ son gang aware enjoined script
47,ures mentally chosen salva king saubala husband brought force knowing learned scriptures bhishma admitted force objection sent salva proper escort marriage ambika ambalika two younger sisters v ichitravirya duly solemnised amba went rejoicing salva told ha
48,ppened “ mentally chosen husband start bhishma sent marry according sastras salva replied “ bhishma defeate sight carried away disgraced cann ot receive wife return commands ” words salva sent back bhishma returned hastinapura told bhishma taken place gran
49,dsire tried induce vichitravirya marry vichitravirya roundly refused marry maiden whose heart already given another amba turned bhishma besought marry recourse impossibl e bhishma break vow sorry amba vain attempts make v ichitravirya change mind told way 
50,left go salva seek persuade first proud long years abode hastinapura finally sheer desperation went salva found adamant refusal lotus eyed amba spent six bitter years sorrow baffled hope heart seared suffering sweetness turned gall fierce hatred towards bh
51,ishma cause blighted life sought vain champion among princes fight kill bhishmaand thus avenge wrongs even foremost warriors afraid bhishma paid heed appeal last resor ted hard austerities get grace lord subrahmanya gracious ly appeared gave garland ever f
52,resh lotuses saying wearer garland would become enemy bhishma amba took garland besought every kshatriya accept garland—gift six faced lord champion cause one hardihood antagonise bhishma finally went king drupada also refused grant prayer hung garland dru
53,pada ’ palace gate went away forest ascetics met told sorrowful tale advised go parasurama suppliant followed advice hearing sad story parasurarna moved compassion said “ dear child want ask salva marry wish ” amba said “ wish longer desire marriage home h
54,appiness one thing life me—revenge bhishma boon seek death bhishma ” parasurama moved much anguish abiding hatred kshatriya race espoused cause fought bhishma long equal comb two greatest men arms age end parasur ama acknowledge defeat told amba “ done cou
55,ld failed throw mercy bhishma course left ” consumed grief rage kept alive passion revenge amba went himalayas practised rigorous austerities get grace siva human aid failed siva appeared granted boon next birth would slay bhishma amba impatient rebirth wo
56,uld give heart ’ desire made pyre plunged fire pouring flame heart scarcely hotter blaze pyre grace lord siva amba born daught er king drupada years birth saw garland never fading flowers still hung palace gate remained untouched anyo ne fear put round nec
57,k father drupada consternation temerity feared would draw head wrath bhishma sent daughter exile capital forest practised austerities forest time transformed male became known warrior sikhandin sikhandin charioteer arjuna attacked bhishma battlefield kuruk
58,shetra bhishma knew sikhandin born female true code chivalry would fight circumstance arjuna could fight screened sikhandin conquer bhishma especially bhishma knew long weary probation earth finished consented vanquished arrow struc k bhishma last light si
59,ngled pierced deepest said “ arjuna ‘ arrow sikhandin ’ fell great warrior chapter iv devayani kacha ancie nt times bitter struggle devas gods asuras demons lordship three worlds belligerents illustrious preceptors brihaspati pre emine nt knowledge v edas 
60,guiding spirit devas asuras relied sukracharya ’ profoun wisdom asuras formidable advantage sukracharya alone possessed secret sanjivini could recall dead life thus asuras fallen battle brought back life time continued fight devas deva thus great disadvant
61,age long drawn war natural foes went kacha son brihaspati besought aid begged win way good graces sukra charya persuade take pupil admitted intimacy confidence acquire fair means foul secret sanjivini remove great handicap devas suf fered kacha acceded req
62,uest set meet sukracharya lived capital city vrishaparv king asuras kacha went house sukra due salutation addressed thus “ kacha grandson sage angiras son brihaspati brahmacharin seeking knowledge tutelage ” law wise teacher refuse worthy pupil sought know
63,ledge sukra acceded said “ kacha belong good family accept pupil willingly shall also showing respect brihaspati ” kacha spent many years sukracharya rendering perfection prescribed duties household master sukracharya lovely daughter devay ani extremely fo
64,nd kacha devoted pleasing serving song dance pastime succeeded winning affection without detriment however vows brahmacharya asuras came know became anxious suspected kacha ’ object somehow wheedle sukracharya secret sanjivini naturally sought prevent cala
65,mity one day kacha engag ed grazing cattle master asuras seized tore pieces cast flesh dogs cattle returned without kacha devayani filled anxiety ran father loud lamentations “ sun set ” walled “ nightly fire sacrifice performed still kacha returned home c
66,attle come back fear mishap befallen kacha live without fond father employed art sanjivini invoked dead youth appear kacha came back life greeted master smiles asked devayani reason delay told grazing cattle asuras came suddenly slew came back life knew co
67,me back life another occasion kacha went forest pluck flowers devayani asuras seized killed pounding body paste mixed sea water return even long time devayani went father brought kacha back life sanjivini heard taken place third time asuras killed kacha cl
68,everly thought burnt body mixed ashes wine served sukracharya drank suspecting nothing cows returned home without keeper devayani approached father distressful appeal kacha sukracharya tried vain console daughter “ though brought back kacha life ” said “ a
69,suras seem bent upon killing well death common lot proper wise soul like sorrow life enjoy youth beauty goodwill world ” devayani deeply loved kacha since world began wise saws never cured ache bereavement said “ kacha grandson ofangiras son brihaspati bla
70,meless boy devoted tireless service loved dearly killed life become bleak insupportable shall therefore follow path ” devayani began fast sukracharya heart stricken daughter sorrow became angry asuras felt heinous sin killing brahmana would weigh heavily f
71,ortunes employed sanjivini art called upon kacha appear power sanjivini kacha dispersed wine insid e sukracharya ’ body time regained life prevent ed pecu liarity location coming could answer name sukracharya exclaimed angry amazem ent “ brahmacharin get ’
72, also work asuras really bad makes feel like killing asura immediately joining devas tell whole story ” kacha narrated spite inconvenience imposed position vaisampayana continued high souled austere sukracharya immeasurable greatness became angry deceit pr
73,actised wine proclaimed benefit humanity ‘ virtue desert man lack wisdom drink wine object scorn message humanity regarded imperative scriptural injunction ’ turned daughter devayani said “ dear daughter problem kacha live must rend stomach come means deat
74,h life bought death devayani began weep said “ alas death either way either perish shall survive sukracharya sought way difficulty real explanation flashed said kacha “ son brihaspati see object came verily secured must bring life sake devayani equally sak
75,e must die either way initiate art sanjivini canbring back life shall died way torn entrails ou employ knowledge going impart reviv e devayani need grieve either us accordingly sukracharya imparted art sanjivini kacha immediately kacha came forth sukrachar
76,ya ’ body emer ging like full moon cloud great preceptor fell mangled dead kacha brought sukracharya back life means newly acquired sanjiv ini kacha bowed sukracharya said “ teacher imparts wisdom ignorant father besides issued body mother ” kacha remained
77, many years tutelage sukracharya period vow ended took leave master return world gods depart devayani humbly addressed thus “ grandch ild angiras heart blameless life great attainments nobility birth loved long tenderly even faithfully following vows brahm
78,acharin reciprocate love make happy marry ing brihaspati well fully worthy honoured ” days uncommon thing wise learned brahmana ladies speak mind honourable frankness kacha said “ faultless one master ’ daughter ever worthy respect got back life born fathe
79,r ’ body hence brother proper sister ask wed ” devayani sough vain persuade “ son brihaspati ” said “ father cause coming back life loved indeed alway loved wanted husband fit give one like sinless devoted kacha replied “ seek persuade unrighteousness ench
80,anting ever flushed anger brother pray bid adieu serve unto perfection ever always master sukracharya ” words kacha gently disengaged proceeded abode indra king gods sukracharya consoled daughter chapter v marriage devayani one warm afternoon pleasantly ti
81,red sporting woods devayani daughters vrishaparv king asuras went bathe cool waters sylvan pool depositing garlands bank entered waters strong breeze blew clothes together huddled heap came take mistakes naturally occurre happened princess sarmishtha daugh
82,ter king clad devayani ’ clothes latter vexed exclaimed half jest impropriety daughter disciple wearing clothes master ’ daughter words spoken half jest princess sarmishtha became angry said arrogantly “ know father humbly bows reverence royal father every
83, day daughter beggar lives father bounty ’ forget royal race proudly gives come race begs receives dare speak thus sarmishtha went getting angrier angrier spoke till working fit anger finally slapped devayani cheek pushed dry well asura maide ns thought de
84,vayani lost life returned palace devayani killed fall well sad plight could climb steep sides emperor yayati bharata race hunting forest happy chance came spot search water slake thirst glanced well saw something bright looking closer surprised find beauti
85,ful maiden lying well asked beau tiful maiden bright earrings ruddy nails father ancestry ’ fall well replied “ daughter sukracharya know fallen well lift ” held forth hands yayati seized hand helped well devayani wish return capital king asuras feel safe 
86,go pondered sarmishtha ’ conduct told yayati “ held maiden right hand must marry feel every way worthy husband yayati replied “ loving soul kshatriya brahmana maiden marry ’ daughter sukracharya worthy preceptor whole world submit wife kshatriya like rever
87,ed lady return home ” said words yayati went back capital kshat riya maiden could marry brahmana according ancient tradition considered wrong brahmana maiden marry kshatriya important thing keep racial status women unlowered hence anuloma practice marrying
88, men higher castes legitimate reverse practice known pratiloma e marrying men lower caste prohibited sastras devayani mind return home remained sunk sorrow shade tree forest sukracharya loved devayani life waiting long vain return daughter gone play compan
89,ions sent woman search messenger weary search came last near tree sitting dejection eyes red anger grief asked happened devayani said “ friend go tell father set foot capital v rishaparva sent back sukracharya extremely grieved sad plight daughter sukracha
90,rya hurried caressing said actions good bad men happy miserable virtues vices others affect us least w ith words wisdom tried console replied sorrow anger “ father leave alone merits faults concern tell this— sarmishth daughter vrishaparva right told minst
91,rel singing praises kings called daughte r mendican living doles flattery content arrogant contumely slapped threw pit whic h near stay place within father ’ territory ” devayani began weep sukracharya drew proudly “ devayani ” said dignity “ daughter cour
92,t minstrel father live wages flattery daughter one revere nced world indra king gods knows vrisha parva igno rant debt worthy man extols merits shall say arise peerless gem among women bringing prosperity family patient let us go home context bhagavan vyas
93,a advises humanity general following words counsel addressed sukracharya daughter “ conquers world patiently puts abuse neighbours controls anger horseman break unruly horse indeed charioteer merely holds reins lets horse go whither would sheds anger snake
94, slough real hero moved despite greate st torments inflicted others realise aim never gets angry superior ritualist faithfully performs hundred years sacrifices ordained scripture servants friends brothers wife children virtue truth abandon man gives way a
95,nger wise take heart words boys girls ” devayani humbly told father “ indeed little girl hope young benefit great truth taught yet proper live person sense decency decorum wise keep compa ny speak ill family however rich may ill mannered really veritable c
96,handalas outside pale caste virtuous shou ld mix mind ablaze anger roused taunts vrishaparva ’ daughter wounds inflicted weapons may close time scalds may heal gradually wounds inflicted words remain painful long one lives sukracharya went v rishaparva fix
97,ing eyes gravely said “ king though one ’ sins may bring immediate punishment sure sooner later destroy germ prosperity kacha son briha spati brahmacharin conquered senses never committed sin served fidelity never strayed path virtue attendants tried kill 
98,bore daughter holds honour high hear dishonouring words uttered daughter besides pushed well daughter stay kingdom without live either going kingdom words king asuras sorely troubled said “ ignorant charges laid door abandon shall enter fire die ” sukracha
99,rya replied “ care happiness daughter fate asuras one thing dearer life appease well good otherwise go vrishaparva retinue went tree devayani stood threw feet supplication devayani stubborn said “ sarmishtha told daughter beggar become handmaiden atten hou
100,se father gives marriage vrishaparva consented asked attendants fetch daughter sarmishtha sarmishtha admitted fault bowed submission said “ let companio n devayani desires father shall lose preceptor fault committed attendant ” devayani pacified returned h
101,ouse father another occasion also devayani came across yayati repeated request take wife since clasp ed right hand yayati repeated objection kshatriya could lawfully marry brahmana finally went sukracharya gothis assen marriage instance pratilom marriage r
102,esorted exceptional occasions sastras doubt prescribe right forbid wrong marriage effected made invalid yayati devayani spent many days happiness sarmishtha remained attendant one day sarmishtha met yayati secret earnestly prayed taken also wife yielded pr
103,ayer married without knowledge devayani devayani came know naturally angry complained father sukracharya rage cursed yayati premature old age yayati thus suddenly stricken age prime manhood begged humbly forgiveness sukracharya forgotten devayani ’ rescue 
104,well last relented said “ king lost glory youth curse recall ed persuade anyone exchange youth age exchange take effect thus blessed yayati bade farewell chapter vi yayati emperor yayati one ancestors pandavas never known defeat followed dictates sastras a
105,dored gods venerated ancestors intense devotion became famous ruler devoted welfare subjects already told became prematurely old curse sukracharya wronged wife devayani words poet mahabharata “ yayati attained old age destroys beauty brings miseries ” need
106,less describe misery youth suddenly blighted age horrors loss accentuated pangs recollection yayati found suddenly old man still haunted desire sensual enjoyment five beautiful sons virtuous accomplished yayati called appealed piteously affection “ curse g
107,randfather sukracharya made unexpectedly prematurely old fill joys life knowing store lived life restraint denying even lawful pleasures one ought bear burden old age give youth return agrees bestows youth ruler kingdom desire enjoy life full vigour youth 
108,first asked eldest son son replied “ great king women servants mock take upon old age ask youn ger brothers dearer ” secon son approached gently refused words “ father ask take old age destroys strength beauty also see wisdom strong enough ” third son repl
109,ied “ old man ride horse elephant speech falter helpless plight agree ” king angry disappo inted three sons declined wished hoped better fourth son said “ take old age exchange youth shall give back time take back old age cursed fourth son begged forgiven 
110,thing could means consent old man seek help others even keep body clean pitiful plight much loved father could yayati struck sorrow refusal four sons still hoping hope supplicated last son never yet opposed wishes “ must save afflicted old age wrinkles deb
111,ilit grey hairs result curse sukracharya hard trial take upon infirmities shall enjoy life give back youth resume old age sorrows pray refuse elder brothers done ” puru youngest son moved filial love said “ father gladly give youth relieve sorrows old age 
112,cares state happy ” hearing words ayati embraced soon touched son yayati became youth puru accepted old age father ruled kingdom acquired great renown yayati enjoyed life long satisfied went later garden kubera spent many years apsara maiden long years spe
113,nt vain efforts quench desire indulgence truth dawned returning puru said “ dear son sensual desire never quenched indulgence fire pouring ghee heard read till realised object desire corn gold cattle women nothing ever satisfy desire man reach peace mental
114, poise beyond likes dislikes state brahman take back youth rule kingdom wisely well words yayati took old age puru regained youth made king yayati retired forest spent time austerities due course attained heaven chapter vii vidura sage mandavya acquired st
115,rength mind knowledge scriptures spent days penance practice truth lived hermitage forests outskirts city one day immersed silent contemplation shade tree outside hut leaves band robbers fled woods officers king hot pursuit fugitives entered ashrama thinki
116,ng would convenient place hide themse lves placed booty corner hid soldiers king came ashrama tracking footsteps commander soldiers asked mandavya rapt deep meditation tone peremptory command “ see robbers pass go reply may give chase capture ” sage absorb
117,ed yoga remained silent commander repeated question insolently sage hear anything meantime attendants entered ashrama discovered stolen goods lying reported commande r went found stolen goods robbers hiding commander thought “ know reason brahmana pretende
118,d silent sage indeed chief robbers inspired robbery ” ordered soldiers guard place went king told sage mandavya caug ht stolen goods king angry audacity chief robbers put garb brahmana sage better deceive world without pausing verify facts ordered wicked c
119,riminal thought impaled commander returned hermitage impaled mandavya spear handed stolen things king virtuous sage though impaled spear die since yoga impaled remained alive power yoga sageswho lived parts forest came hermitage asked mandavya came terribl
120,e pass mandavya replied “ shall blame servants king protect world inflicted punishment king surprised frightened heard impaled sage still alive surrounded sages forest hastened forest attendants ordered sage taken spear prostrated feet prayed humbly given 
121,fence unwittingly committed mandavya angry king went straight dharma divine dispenser justice seated throne asked “ crime committed deserve torture ” lord dharma knew great power sage replied humility “ sage tortured birds bees aware deeds good bad howev e
122,r small inevitably produce results good evil mandavya surprised reply lord dharmzt asked “ commit fence lord dharma replied child mandavya pronounced curse dharma “ punishment decreed far excess deserts mistake committed child ignorance born therefore mort
123,al world ” lord dharma thus cursed sage mandavya incarnated vidura born servant maid ambalika wife vichitravirya story intended show vidura incarnation dharma great men world regarded vidura mahatma unparalleled knowledge dharma sastras statesmanship total
124,ly devoid attachmen anger bhishma appointed still teens chief counsellor king dhritarashtra vyasa one three worlds could equal vidura virtue knowledge dhritarashtra gave permission game dice vidura fell feet protested solemnly “ king lord approve action st
125,rife set among sons result pray allow ” dhritarashtra also tried many ways dissuade wicked son said “ proceed game vidura approv e wise vidura lofty intellect ever intent welfare says game bound result fierceness hate consume us kingdom ” duryodhana heed a
126,dvice carried away doting fondness son dhritarashtra surrendered better judgment sent udhishthira fateful invitation game chapter viii kunti devi sura grandfather sri krishna worthy scion yadava race daughter pritha noted beauty virtues since cousin kuntib
127,ho ja childless sura gave daughter pritha adoption time known name kunti adoptive father kunti little girl sage durvasa stayed time guest father house served sage year care patience devotion pleased gave divine mantra said “ call upon god repeating mantra 
128,manifest bless son equal glory ” granted boon foresaw yogic power misfortune store future husband impatient curiosity youth made kunti test efficacy mantra repeating invoking sun saw shining heavens sky grew dark clouds cover sun god approached beautiful p
129,rincess kunti stood gazing ardent soul scorching admiration kunti pow ered glorious vision divine visitor asked “ god art thou ” sun replied “ dear maiden sun drawn spell son giving mantra uttered kunti aghast said “ unwedded girl dependent father fit moth
130,erhood desire merely wished test power boon granted sage durvasa go back forgive childish folly mine ” sun god could thus return power mantra held part mortally afraid blamed world sun god however reassured “ blame shall attach bearing son regain virginity
131, ’ kunti conceived grace sun giver light life world divine births take place immediately without nine months ’ weary course mortal gestation gave birth kama born divine armour earrings bright beautiful like sun time became one world greatest heroes birth c
132,hild kunti became virgin result boon granted sun wondered child hide fault placed child sealed box set afloat river childless charioteer happened see floating case taking surprised delighted see within gorgeously beautiful child handed wife lavished mother
133, love thus karna son sun god came brought charioteer child time came giving kunti marriage kuntibhoja invited neighbouring princes held swayamvara choose husband many eager suitors flocked swayamvara princess widely famed great beauty virtue kunti placed g
134,arland neck king pandu bright representative bharata race whose personality eclipsed lustre princes assembled marriage duly solemnised accompanied husband capital hastinapur advice bhishma accordance prevail ing custom pandu took second wife madr sister ki
135,ng madra old days kings took two three wives making sure progeny mere sensual desire sage cursed pandu effect would childr en narrated next chapter chapter ix death pandu one day king pandu hunting sage wife also sporting forest guise deer pandu shot male 
136,arrow ignorant fact sage disguise stric ken death rishi thus cursed pandu “ sinner meet death moment taste pleasures bed ” pandu heartbroken curse retreated forest wives entrusting kingdom bhishma vidura lived life perfect abstinence seeing pandu desirous 
137,offspring rishi curse denied kunti confided story mantra received durvasa urged kunti madri use mantra thus five pandavas born gods kunti madri born brought forest among ascetics king pandu lived many years forest wives children spring time one day pandu m
138,adri forgot sorrows rapture sympathy throbbing life around happy flowers creeper birds creatures forest spite madri ‘ earnest repeated protests pandu ‘ resolution broke exhilarating influence season curse sage took effect pandu fell dead madri could contai
139,n sorrow since felt responsible death king burnt pyre husband entreating kunt remain mother doubly orphaned children sages forest took bereaved grief stricken kunti pandavas hastinapura entrusted bhishma yudhishthira sixteen years old time sages came hasti
140,napura reported death pandu forest whole kingdom plunged sorrow vidura bhishma vyasa dhritarashtra others performed funeral rites people kingdom lamented personal loss vyasa said satyavati grandmother “ past gone pleasantly future many sorrows store world 
141,passe youth like happy dream entering disillusionment sin sorrow suffering time inexorable need wait see miseries misfortunes befall race good leave city spend rest days hermitage forest satyavati agreed went forest ambika ambalika thes e three aged queens
142, passed holy asceticism higher regions bliss spared sorrows children chapter x bhima five sons pandu hundred sons dhritarashtra grew mirth merriment hastina pura bhima excelled physical prowess used bully duryodhana kauravas dragging hair beating great swi
143,mmer would dive pools one clasped helpless arms remain water till almost drowned whenever climbed tree would stand ground kick tree shake like ripe fruits bodies sons dhritarashtra would ever sore bruises result bhim ’ practical jokes small wonder sons dhr
144,itarashtra nursed deep hatred bhima infancy princes grew kripacharya taught archery practice arms things princes learn duryodhana ’ jealousy towards bhima warped mind made commit many improper acts duryodhana much worried father blind kingdom ruled pandu d
145,eath yudhishthira heir apparent would course time become king duryodhana thought blind father quite helpless must prevent yudhishthira ’ acces sion throne contrive way killing bhima made arrangements carry resolve since thought powers pandavas would declin
146,e death bhima duryodhana brothers planned throw bhima ganges imprison arjuna yudhishthira seize kingdom rule duryodhana went brothers pandavas swim ganges sports slept tents exhausted bhima exerted others food poisoned felt drowsy lay bank river duryodhana
147, bound wild creepers threw river evil duryodhana already caused sharp spikes planted spot done purposely bhima might falling impaled spikes lose life fortunately spike place wherebhima fell poisonous water snakes bit body poisonous food taken counteracted 
148,snake poison bhima came harm presently river washed bank duryodhana thought bhima must died thrown river infested poisono us snakes fanged spikes returned city rest party great joy yudhishthira enquired whereabouts bhima duryodhana informed prece ded city 
149,yudhishth ira believed duryodhana soon returned home asked mother whether bhima returned home anxious question brought forth reply bhima yet returned made yudhishthira suspec foul play brother went brothers forest searched everywhere bhima could found went
150, back great sorrow time later bhima awoke trudged wearily back home kunti yudhishthira welcomed embraced great joy poison entered system bhima became stronger kunti sent v idura told secret duryodhana wicked cruel seeks kill bhima since wants rule kingdom 
151,worried vidura replied “ say true keep thoughts wicked duryodhana accused blamed anger hatred increase sons blessed long life need fear account ” yudhislithira also warned bhima said “ silent matter hereafter careful help one another protect ” duryodhana s
152,urprised see bhima come back alive jealousy hatred increased heaved deep sigh pined away sorrow chapter xi karna pandavas kauravas learnt practice arms first kripacharya later drona day fixed test exhibition proficie ncy use arms presence royal family publ
153,ic also invited witness performa nce beloved princes large enthusiastic crowd arjun displayed superhuman skill weapons vast assemblage lost wonder admiration duryodhana ’ brow dark envy hate close day came suddenly entrance arena sound loud compelling like
